id,group,age,sex,sex_comparison,order,education,trial,players,complete,p,x1,x2,out1l,q,y1,y2,out2l,choicel,choiceotherl,emotion,choiceduration,obtainedchosen,unobtainedchosen,obtainedother,unobtainedother,ev1,ev2,dev,absdev,sd1,sd2,dsd,d,r,scale,scaleduration,Em_ev,rxgroup,_est_random,_est_fixed
1,1,68,1,3,1,12,1,0,0,0.5,5,-20,1,0.200000003,20,-20,0,0,2,Disapointment,5.739299774,-20,20,,,-7.5,-12,4.5,4.5,12.5,16,-3.5,19.5,-15,-31,1.427800059,Disapointment,-15,0,0
1,1,68,1,3,1,12,2,0,0,0.5,-5,-20,0,0.200000003,5,-20,0,0,2,Disapointment,8.059399605,-20,5,,,-12.5,-15,2.5,2.5,7.5,10,-2.5,12.5,-10,-30,1.465600014,Disapointment,-10,0,0
1,1,68,1,3,1,12,3,0,0,0.5,-5,-20,0,0.200000003,20,-20,1,0,2,Rejoy,5.473999977,20,-20,,,-12.5,-12,-0.5,0.5,7.5,16,-8.5,24.5,-25,0,0.06669999659,Rejoy,-25,0,0
1,1,68,1,3,1,12,4,0,0,0.5,20,5,0,0.8000000119,20,-20,1,1,2,Disapointment,6.167699814,5,20,,,12.5,12,0.5,0.5,7.5,16,-8.5,0.5,25,5,1.791499972,Disapointment,25,0,0
1,1,68,1,3,1,12,5,0,0,0.200000003,5,-20,0,0.8000000119,-5,-20,1,0,2,Rejoy,8.882300377,-5,-20,,,-15,-8,-7,7,10,6,4,-17,10,-7,2.145299911,Rejoy,10,0,0
1,1,68,1,3,1,12,6,0,0,0.200000003,5,-5,0,0.5,5,-20,0,0,2,Disapointment,2.972899914,-20,5,,,-3,-7.5,4.5,4.5,4,12.5,-8.5,4.5,15,-23,1.510499954,Disapointment,15,0,0
1,1,68,1,3,1,12,7,0,0,0.5,5,-20,1,0.200000003,5,-5,0,1,2,Rejoy,8.406700134,5,-20,,,-7.5,-3,-4.5,4.5,12.5,4,8.5,-4.5,-15,11,1.548599958,Rejoy,-15,0,0
1,1,68,1,3,1,12,8,0,0,0.200000003,20,-20,0,0.5,5,-20,1,0,2,Rejoy,8.867500305,5,-20,,,-12,-7.5,-4.5,4.5,16,12.5,3.5,-19.5,15,3,1.331599951,Rejoy,15,0,0
1,1,68,1,3,1,12,9,0,0,0.8000000119,-5,-20,1,0.200000003,5,-20,0,0,2,Disapointment,5.293499947,-20,5,,,-8,-15,7,7,6,10,-4,17,-10,-11,2.287100077,Disapointment,-10,0,0
1,1,68,1,3,1,12,10,0,0,0.200000003,20,5,0,0.8000000119,20,-5,1,0,2,Rejoy,6.863299847,20,-5,,,8,15,-7,7,6,10,-4,-7,10,18,2.155600071,Rejoy,10,0,0
1,1,68,1,3,1,12,11,0,0,0.8000000119,20,-5,1,0.200000003,20,5,0,1,2,Rejoy,4.663199902,20,-5,,,15,8,7,7,10,6,4,7,-10,23,1.478600025,Rejoy,-10,0,0
1,1,68,1,3,1,12,12,0,0,0.200000003,20,5,0,0.5,20,-5,1,1,2,Disapointment,7.142300129,5,20,,,8,7.5,0.5,0.5,6,12.5,-6.5,0.5,10,0,3.085299969,Disapointment,10,0,0
1,1,68,1,3,1,12,13,0,0,0.5,20,-5,0,0.8000000119,20,-20,1,0,2,Rejoy,6.474299908,20,-20,,,7.5,12,-4.5,4.5,12.5,16,-3.5,-4.5,15,21,2.335400105,Rejoy,15,0,0
1,1,68,1,3,1,12,14,0,0,0.8000000119,20,-20,0,0.5,20,5,0,0,2,Disapointment,6.045199871,5,20,,,12,12.5,-0.5,0.5,16,7.5,8.5,-0.5,-25,0,5.715099812,Disapointment,-25,0,0
1,1,68,1,3,1,12,15,0,0,0.8000000119,20,-20,1,0.5,20,-5,1,1,2,Rejoy,6.939599991,20,-20,,,12,7.5,4.5,4.5,16,12.5,3.5,4.5,-15,16,1.288599968,Rejoy,-15,0,0
1,1,68,1,3,1,12,16,0,0,0.5,20,-5,0,0.200000003,20,5,1,0,2,Rejoy,4.035200119,20,5,,,7.5,8,-0.5,0.5,12.5,6,6.5,-0.5,-10,24,2.377099991,Rejoy,-10,0,0
1,1,68,1,3,1,12,17,0,0,0.200000003,5,-20,0,0.5,-5,-20,1,0,2,Rejoy,9.140199661,-5,-20,,,-15,-12.5,-2.5,2.5,10,7.5,2.5,-12.5,10,1,3.355400085,Rejoy,10,0,0
1,1,68,1,3,1,12,18,0,0,0.200000003,20,-20,1,0.5,-5,-20,0,0,2,Disapointment,7.733399868,-20,-5,,,-12,-12.5,0.5,0.5,16,7.5,8.5,-24.5,25,-29,1.176900029,Disapointment,25,0,0
